# {"t_start": 1765801489.4561884, "env_id": "Bpp-v0"} 
r,l,t
3.25,7,1.369627
4.1,13,3.262633
4.0,9,5.033987
2.09,8,6.788666
4.07,9,8.547655
1.46,9,9.602937
4.63,13,12.42429
5.7,11,14.224967
3.5,5,15.106973
2.72,8,16.830655
4.02,12,18.702348
3.84,12,21.490973
3.05,8,22.456973
2.18,8,24.15336
3.38,10,25.99902
4.52,15,28.988566
1.52,6,29.932567
2.6,12,31.791883
1.98,7,33.487537
4.08,14,36.157239
1.44,8,37.175889
1.14,5,38.32889
4.4,11,40.156579
3.72,11,42.720219
3.48,10,44.544572
3.12,9,45.583255
4.08,12,48.433934
1.94,8,49.425936
3.92,11,51.931252
3.3,7,52.885267
3.16,16,55.594587
2.93,8,57.528226
2.44,8,58.484244
4.2,8,60.165226
1.9,5,61.042927
2.68,8,62.747926
3.96,15,65.659193
2.81,8,66.636847
1.88,8,68.349847
3.2,11,70.172162
4.89,15,72.889854
3.85,10,74.955453
3.6,8,76.673121
3.36,13,78.550756
2.92,7,80.262753
2.95,8,81.260786
3.8,14,84.145775
5.3,12,86.001456
1.2,8,87.733101
3.69,11,89.579129
2.6,7,91.261409
1.34,8,92.272408
4.3,13,95.113955
3.92,14,97.724636
3.93,9,98.738643
3.02,8,100.413298
4.79,11,102.478023
2.98,8,104.171641
4.45,9,105.896286
4.5,6,106.826288
4.07,10,108.570973
3.84,10,110.37365
4.78,11,112.388311
2.36,13,114.996635
3.66,9,116.019654
2.52,8,117.780262
2.94,8,119.577191
3.2,12,121.690887
4.05,13,124.326239
3.4,8,125.322263
3.04,9,127.099408
4.24,16,130.11474
2.62,7,131.816437
1.98,10,133.598161
2.86,7,134.539782
5.35,9,136.280442
3.58,11,138.10344
5.4,15,140.973894
3.88,12,142.806568
2.72,14,145.443463
3.28,9,147.205464
2.7,9,149.202149
2.16,8,150.17677
6.5,10,151.972444
2.98,10,153.766738
1.92,8,155.471736
3.2,11,157.58043
3.6,7,159.304411
4.5,13,161.196059
2.1,9,162.965688
3.2,9,164.75192
5.28,16,167.668331
5.08,13,170.299602
