# {"t_start": 1765801489.4001868, "env_id": "Bpp-v0"} 
r,l,t
3.64,12,2.318626
4.16,16,5.051992
2.04,7,6.039019
2.82,12,8.635653
3.15,11,10.701632
1.72,6,11.637611
1.74,8,13.345292
4.05,11,15.13197
1.66,7,16.090652
2.32,9,17.846673
2.08,8,19.841323
0.87,5,20.699346
4.06,12,22.512975
2.92,10,24.276388
2.4,8,26.055022
3.8,10,27.897566
3.6,11,29.988569
3.4,8,31.722885
6.0,14,33.634559
5.56,13,36.282206
3.72,13,39.175903
1.6,4,39.301912
3.0,12,41.897575
2.47,9,43.686249
1.32,4,43.818571
3.0,6,45.510258
1.74,6,46.446283
3.4,11,48.522935
2.0,9,50.256571
1.41,5,51.144569
3.32,9,52.88025
3.72,10,54.658611
4.02,9,55.681618
5.0,6,57.553227
3.72,10,59.287227
4.96,16,61.95191
3.2,11,63.754168
3.2,7,64.718168
1.68,5,65.843189
1.99,7,67.511869
1.74,7,68.468845
1.88,7,70.162162
3.76,13,72.068183
2.1,8,73.833481
2.04,8,75.073459
4.14,18,78.575775
4.35,15,81.286756
2.55,5,82.163426
3.38,9,84.170802
3.6,11,85.992418
4.68,11,87.818102
3.0,11,89.667102
3.65,11,92.226424
2.35,10,94.266978
3.16,9,95.262982
4.9,12,97.817668
3.38,10,99.579329
2.75,6,100.4693
2.16,8,102.441304
3.0,10,104.202667
2.7,7,105.122645
3.16,8,106.850309
2.16,8,107.816309
2.8,9,109.550006
5.0,9,111.548313
2.0,5,112.413314
2.4,10,114.165949
3.08,9,115.937636
2.9,10,117.776262
3.4,13,119.742221
3.52,17,123.491542
2.87,9,124.511261
3.6,11,127.094441
4.24,11,128.927411
2.58,8,130.204741
5.26,12,132.796154
1.5,6,133.72115
4.0,7,134.656792
1.98,7,136.336444
3.95,8,137.31447
3.12,9,139.327917
3.25,9,141.029896
7.04,21,144.611465
2.56,13,147.228464
6.0,13,149.354151
3.8,9,151.086445
3.28,11,152.926446
2.4,6,154.588739
1.84,9,155.590738
3.4,9,157.636432
2.7,9,159.429432
3.36,13,162.066081
2.48,17,164.840923
1.8,7,165.794333
3.04,8,167.723358
4.4,8,169.467951
3.4,7,170.422604
5.0,13,173.027283
5.9,9,174.026956
0.78,5,174.916548
3.6,9,176.903575
3.2,6,177.824225
1.2,6,179.604225
1.0,4,179.727245
3.0,7,181.420641
5.5,13,183.280622
