# {"t_start": 1765801489.4581888, "env_id": "Bpp-v0"} 
r,l,t
3.45,6,1.331622
2.92,13,3.230623
5.4,10,5.031986
5.0,11,6.88865
5.0,11,9.470936
2.61,7,10.64363
6.45,10,12.42229
2.6,10,14.192969
4.45,11,16.000672
5.1,9,17.757651
1.6,9,19.783321
2.99,12,21.579973
2.76,7,23.234971
3.08,14,25.167985
3.72,9,26.953992
3.0,10,29.051587
2.88,8,30.788862
5.38,17,33.545538
3.48,11,35.366206
1.0,5,36.290225
2.46,8,38.293891
2.56,10,40.095552
2.7,10,41.868557
2.81,10,43.695572
4.96,13,46.353255
1.4,6,47.513258
2.44,16,50.229568
1.44,5,51.120572
2.8,12,52.952251
1.08,5,53.837929
3.12,13,56.692587
5.1,11,58.451226
3.0,10,60.197226
2.68,8,61.894885
3.6,6,62.810883
2.0,10,64.591167
2.78,9,66.572853
3.24,12,68.411847
2.28,9,70.170161
5.4,16,72.923854
3.22,9,74.953452
1.52,9,76.703151
5.08,15,79.373755
3.6,11,81.228754
4.12,14,84.113777
2.36,8,85.09842
2.56,6,86.794417
4.0,7,87.731101
3.2,8,89.478105
3.4,14,91.381397
3.0,11,94.209956
3.5,10,95.963955
2.6,9,96.954665
2.4,9,98.705636
3.2,8,100.381303
4.4,9,102.383302
1.7,6,103.297991
5.75,10,105.034642
3.24,11,106.856288
3.14,10,108.598983
5.08,17,111.580313
4.54,14,114.167948
4.4,8,115.917636
3.58,10,117.748273
4.52,11,119.646197
2.68,8,121.618863
3.43,8,122.62386
3.0,12,125.224278
3.8,14,127.159407
2.28,8,128.910408
6.5,14,131.848436
2.62,10,133.630165
2.37,9,135.37278
3.72,11,137.168444
3.95,9,139.178895
3.6,14,141.030896
3.38,14,143.676461
2.8,6,144.588467
1.18,6,146.228462
3.78,18,149.266128
4.0,11,151.061443
3.83,13,153.703073
5.32,15,156.391409
4.64,14,159.335412
4.95,12,161.194058
4.64,11,163.030687
3.21,8,164.782921
3.8,12,166.858356
4.65,12,169.440949
2.58,6,170.364602
4.44,12,172.199283
2.48,8,173.911946
4.16,15,176.811567
4.32,13,179.546223
5.45,8,180.547907
3.51,10,182.303621
3.96,13,185.173022
2.62,12,186.979678
4.53,9,188.715655
4.2,8,190.460011
3.04,9,191.464986
2.0,9,193.285644
4.86,12,196.101925
3.72,12,197.970948
3.3,18,201.499218
5.24,16,204.532168
2.14,9,206.322203
2.64,10,208.109847
2.1,7,209.057812
1.48,8,210.796115
3.52,10,212.791123
5.0,9,213.792455
4.0,8,215.480455
2.52,9,217.217104
3.24,10,219.006104
4.81,11,220.835739
4.8,14,223.701401
1.26,5,224.584099
5.5,10,226.364806
1.53,6,227.2798
3.05,10,229.041522
4.16,15,231.990757
3.36,9,233.76176
3.0,10,235.56904
5.5,10,237.336337
5.02,13,239.23264
3.2,13,242.08829
4.26,18,245.618555
2.68,9,246.657634
2.3,7,248.460604
2.72,7,249.751245
3.9,14,252.612941
4.15,13,255.204634
4.85,8,256.191324
2.4,13,259.066709
1.98,9,260.885716
3.22,11,262.723404
2.72,9,264.476255
5.38,15,267.142256
3.35,9,268.403944
3.76,16,272.0068
2.28,9,273.035795
5.0,8,274.787145
4.34,10,276.586658
2.23,7,277.799624
4.8,12,280.424342
2.0,9,282.184322
4.4,9,283.200016
3.6,10,285.023254
2.68,9,287.058934
3.36,11,288.8746
3.38,15,291.546905
4.56,17,295.040171
4.6,7,296.256197
6.6,14,298.89082
3.7,11,300.714627
3.0,8,302.436651
3.3,10,304.21794
1.5,6,305.408933
5.45,16,308.090626
1.24,6,309.027624
2.5,8,310.750988
3.8,9,312.511651
4.4,10,314.590301
4.51,17,317.316964
0.95,4,318.174962
1.39,8,319.935305
4.25,9,320.962303
3.4,9,322.783991
4.6,9,324.789289
2.96,12,326.662291
3.8,15,329.395308
3.3,11,331.969604
3.6,10,333.976289
1.85,6,334.88629
2.0,7,335.82929
