# {"t_start": 1765801487.477047, "env_id": "Bpp-v0"} 
r,l,t
2.51,11,4.207762
2.6,13,6.113171
1.36,6,7.045173
2.04,6,8.736792
3.8,13,10.621807
4.06,15,13.559775
2.0,7,15.231432
2.5,8,16.204109
5.0,8,17.917812
3.6,13,19.801813
3.9,14,22.684465
1.8,6,23.590113
3.7,7,25.255139
4.28,11,27.08113
2.37,8,28.84913
4.4,9,29.91275
3.39,11,32.740014
4.6,14,34.665025
2.92,12,37.254371
1.92,7,38.236372
1.28,9,40.274053
2.55,9,42.045729
2.04,7,42.990694
5.9,20,46.625708
2.03,7,48.333395
2.24,8,49.558428
3.87,12,52.150709
4.6,14,54.03339
5.0,10,55.81907
3.44,12,58.641754
1.92,6,59.536366
3.77,12,61.337391
2.56,9,63.055049
3.16,14,65.677308
7.2,14,68.553995
2.16,5,69.435009
4.75,16,72.150329
4.67,16,74.904996
2.12,11,76.996599
1.8,6,78.651281
3.36,11,80.464919
3.28,8,81.457895
1.4,7,83.175924
1.5,6,84.086566
5.75,9,86.093942
3.32,12,87.946557
2.08,7,89.648266
2.22,9,90.68628
2.1,7,92.375539
2.85,8,93.361559
3.84,11,96.190118
1.2,5,97.06212
3.6,7,98.001121
6.45,8,99.703778
3.54,11,101.502468
4.48,14,104.363469
1.6,10,106.125806
4.85,11,107.908427
3.28,11,109.711449
5.4,12,111.536144
3.45,8,113.500473
3.08,11,115.284483
3.46,10,117.065799
2.8,8,118.791775
4.0,13,120.74436
2.36,8,122.770023
1.95,7,123.729028
3.76,11,126.304401
1.72,8,127.301404
1.76,8,129.048569
4.7,9,130.815575
3.4,7,132.059899
5.0,12,133.923577
3.35,8,135.644289
1.7,6,136.54894
3.68,10,138.316605
4.88,17,142.031036
3.3,10,143.774735
5.04,25,148.208631
1.68,7,149.18363
2.1,8,151.148303
1.76,7,152.088922
5.9,14,154.760584
3.4,7,155.713224
1.18,6,156.633899
3.24,13,159.530551
3.64,9,161.315548
3.16,10,163.117227
4.4,10,164.904855
5.7,11,166.764063
5.4,14,169.614472
5.5,9,171.391091
6.7,13,173.257746
4.0,6,174.179451
3.7,10,175.950095
3.3,11,178.730712
3.34,10,180.575392
3.0,9,181.650384
3.2,8,183.373783
3.8,8,185.085782
5.3,11,187.154164
3.26,9,188.869795
5.43,13,190.729795
1.42,9,192.499151
2.18,9,194.254153
3.41,9,196.324425
1.14,4,196.444443
4.08,13,199.074085
4.0,11,200.863731
1.36,8,202.593724
4.5,9,204.44339
1.32,7,205.648371
4.32,12,207.52034
1.98,6,209.195341
2.06,7,210.15098
2.41,11,211.989634
4.88,14,214.827255
1.04,6,215.741957
4.72,13,218.310596
3.18,11,220.135273
3.08,9,221.866894
2.0,8,222.880893
4.09,11,225.649554
3.52,8,226.626264
3.52,9,228.373966
5.4,10,230.133947
1.76,9,231.898642
4.46,12,234.003898
4.5,12,236.609201
2.1,9,237.638206
2.64,11,240.157752
3.85,6,241.116771
4.2,12,243.198452
4.12,15,245.890715
3.85,7,247.598716
2.84,9,248.638776
2.36,12,251.667415
4.65,10,253.67934
3.57,12,255.498062
3.8,10,257.275774
3.16,13,259.892439
3.6,14,262.866858
2.4,9,263.905545
1.81,7,265.593066
1.42,7,266.545416
2.0,13,269.154407
2.0,8,270.384106
3.78,11,273.086516
3.12,10,274.893935
1.88,9,275.922306
4.75,11,278.505785
3.66,11,280.595789
3.0,10,282.405483
4.08,14,285.060118
2.24,8,286.067358
4.28,14,289.010071
6.4,14,291.669743
