# {"t_start": 1765801487.6040478, "env_id": "Bpp-v0"} 
r,l,t
3.5,10,3.322783
2.65,9,5.083786
2.65,6,6.021126
2.84,10,7.835158
2.6,6,9.515807
3.36,11,11.357076
5.4,15,14.246431
5.0,11,16.046128
4.28,17,18.778811
2.25,6,20.461492
2.0,7,21.669466
2.4,7,22.588475
3.04,9,24.309114
3.67,12,26.88517
2.8,8,27.922153
3.95,11,29.785749
5.35,15,32.740013
2.85,7,34.444042
3.9,14,37.096346
2.77,7,38.07737
2.1,10,40.147052
1.08,7,41.098051
3.0,10,42.898719
5.31,16,46.396713
3.0,10,48.206394
1.68,7,49.399415
4.55,13,52.023709
3.56,10,53.78241
2.78,10,55.572065
3.0,10,57.349727
3.2,12,59.409365
2.5,11,61.177387
1.2,5,62.05039
1.52,7,63.715045
1.8,9,64.728031
2.4,9,66.480307
3.2,10,68.488987
2.74,9,70.23499
5.64,12,72.09334
1.86,12,74.709995
6.85,12,76.838588
4.6,13,79.454293
4.32,10,81.227896
2.36,11,83.081922
2.46,9,84.823577
2.9,10,86.853577
2.6,10,88.676577
4.05,9,90.439261
2.4,11,92.248538
3.72,12,94.124549
2.74,9,96.122095
1.32,5,96.997115
5.34,15,99.647809
2.18,8,101.343463
0.8,6,102.234464
1.74,8,103.225443
3.08,9,105.217154
3.8,15,107.855452
3.24,12,110.395115
3.0,8,111.375112
2.48,11,113.433473
1.38,7,115.095479
1.92,7,116.021107
3.8,12,118.6378
3.55,10,120.495353
4.3,7,121.499362
4.58,12,123.602027
5.28,19,127.174403
2.0,7,128.89058
3.5,10,130.688574
4.19,13,132.877596
2.53,10,134.654288
3.38,9,136.39094
2.36,8,138.103614
6.6,14,140.016611
4.15,8,141.963054
4.64,15,144.594728
2.66,14,147.231632
1.76,9,148.989602
5.02,11,151.05429
4.4,9,152.791606
4.9,9,153.824584
3.81,16,157.264877
3.04,8,158.278572
4.06,9,160.31757
2.92,11,162.167199
5.2,14,164.816828
2.11,7,165.769063
3.8,11,168.592491
4.35,7,169.519497
3.32,8,171.26409
3.28,9,172.276764
1.74,6,173.921444
1.92,7,174.886423
2.8,7,175.823095
1.16,6,177.707706
2.46,13,179.586384
3.0,17,183.186771
4.0,7,184.12678
3.13,7,185.07578
3.22,8,187.054144
3.5,13,189.622795
4.75,10,191.40746
3.49,12,193.254146
2.75,8,195.039809
