# {"t_start": 1765801489.526212, "env_id": "Bpp-v0"} 
r,l,t
1.54,8,1.33063
3.72,13,3.967963
3.18,10,5.78497
2.06,7,6.749622
4.12,20,10.57659
2.92,8,12.291589
4.2,9,13.309265
4.0,10,15.067948
2.3,8,16.791627
4.9,14,19.715297
3.45,8,20.666311
2.0,8,22.355973
1.65,6,23.267973
4.0,14,25.965965
1.76,7,26.916968
3.74,8,28.951543
4.34,14,31.630865
1.65,6,32.554838
4.88,17,35.298183
1.86,5,36.223183
2.5,4,37.105865
1.95,8,39.078867
0.96,7,40.058529
4.16,11,41.863549
2.5,9,43.659545
3.9,13,46.321233
1.8,7,47.509263
3.2,10,49.32191
2.28,6,50.223545
4.0,10,51.984225
0.94,5,52.884228
1.24,6,54.533568
4.4,11,56.593568
2.04,7,57.521202
1.2,6,58.415206
2.94,13,60.972904
4.24,12,62.805867
3.58,15,65.718147
2.86,14,68.343824
4.9,9,70.102138
2.96,9,71.879164
0.92,6,72.819831
4.66,12,74.947434
5.2,18,78.449749
2.8,11,80.28573
2.4,6,81.223732
4.4,9,82.963428
1.52,8,84.932394
5.88,19,88.51808
4.08,14,90.427417
3.71,9,92.202385
5.48,17,95.895931
3.28,11,97.692619
2.06,10,99.454283
3.82,10,101.20831
2.18,14,104.076641
3.8,7,104.99662
3.8,13,107.603267
5.4,15,110.266626
1.5,7,111.452291
1.32,8,113.140326
3.34,9,114.136924
4.79,11,116.716613
4.86,11,118.60517
0.96,7,119.617173
3.35,5,120.751835
2.65,8,122.489836
4.55,8,123.483518
3.36,9,125.252239
2.8,8,127.000388
4.65,10,128.801385
4.16,14,131.746414
2.8,5,132.635104
3.42,12,134.469758
3.08,11,136.268419
5.0,12,139.110872
2.42,7,140.041872
3.98,11,141.817571
3.95,13,144.424438
4.46,15,147.102439
1.87,7,148.308106
4.0,11,150.106746
2.68,9,151.872456
4.6,12,154.462714
2.67,9,155.464713
2.28,7,157.450384
2.56,6,158.396386
1.3,8,160.150037
4.2,10,161.941039
4.76,11,163.757926
2.27,6,164.714898
1.98,10,166.733309
2.4,11,168.525925
3.12,12,171.11558
4.04,10,172.901258
4.18,15,175.786524
4.66,14,177.6982
3.06,16,181.264607
2.28,7,182.205597
4.52,14,185.104999
2.74,10,186.853631
3.0,9,188.57463
2.48,7,189.544314
5.44,16,192.261963
2.0,11,194.396259
2.02,11,196.963901
4.8,20,200.511559
3.24,11,202.426232
2.3,13,204.564117
3.04,9,206.348158
4.32,12,208.928797
3.02,11,210.758091
2.19,8,211.72509
2.48,8,213.66079
3.64,10,215.412432
2.48,12,217.240083
3.7,8,218.969085
3.58,11,220.799742
2.82,9,222.799376
3.11,10,224.54608
4.42,12,226.386776
3.92,16,229.814477
2.6,10,231.859739
4.31,14,233.780364
2.0,10,235.590017
2.4,8,237.29796
5.16,25,242.020267
1.84,4,242.882246
2.03,9,244.659532
2.12,10,246.467186
3.29,11,248.392581
2.72,12,250.74617
2.56,10,252.574878
5.1,11,254.364588
5.75,10,256.1503
1.02,5,257.027279
5.5,14,259.95971
3.6,9,261.795342
1.34,7,262.738344
3.64,13,265.343228
