# {"t_start": 1765801489.3571959, "env_id": "Bpp-v0"} 
r,l,t
4.44,14,567.104597
4.16,16,569.845946
4.43,13,572.528293
3.2,10,574.554605
6.94,18,577.303293
4.03,12,579.898901
3.3,9,581.6849
5.75,12,583.782573
0.84,3,584.616304
4.37,12,586.466913
3.72,12,588.279903
6.0,11,590.846269
3.55,11,592.915917
2.68,10,594.748253
3.0,11,596.605234
5.04,14,599.3389
5.8,11,601.435606
6.4,12,603.300521
4.58,11,605.896831
5.4,12,607.771515
3.92,15,610.789747
6.1,14,613.435422
4.7,15,616.098786
2.76,12,617.953767
5.62,18,621.732166
4.52,14,624.398797
5.8,10,626.161485
3.36,11,628.021823
2.88,10,630.053826
5.37,14,632.683091
4.0,10,634.497476
4.34,17,637.276106
3.38,13,640.148732
6.8,22,643.859416
4.64,8,645.581618
3.59,11,647.671624
4.32,13,649.551283
4.16,12,652.16366
5.2,12,654.013671
3.68,10,655.813318
5.39,20,659.608298
6.0,7,661.292703
1.56,7,662.244704
5.1,13,664.861045
5.28,15,667.791728
6.6,11,669.627377
4.82,13,671.490031
3.59,11,674.07872
5.02,17,677.161067
5.12,13,679.784719
3.18,14,681.677377
4.95,10,683.458376
4.98,17,687.250672
5.12,16,690.002007
4.0,13,692.679322
3.92,13,694.825109
4.0,9,696.5908
4.32,11,698.426799
5.09,13,701.022946
3.68,10,703.082577
4.9,16,705.823949
5.3,16,708.508552
4.09,11,710.327205
4.66,13,713.210947
4.54,15,715.931274
6.2,11,717.772913
8.1,12,720.662575
5.3,16,723.832891
2.1,7,724.864572
3.16,10,726.756215
2.4,7,728.529215
3.74,10,730.393567
6.6,9,731.918565
3.6,6,733.632241
4.28,11,735.48316
4.06,15,738.132772
4.38,11,739.958992
5.3,11,742.014627
3.76,13,744.626144
4.3,16,747.290143
5.22,16,750.242111
5.45,13,752.837778
5.43,11,754.615036
5.55,13,757.252692
4.52,10,759.334712
4.3,18,762.128833
4.16,14,764.794727
2.52,9,766.539481
4.64,12,768.677101
2.53,7,770.370761
6.3,12,772.240431
4.32,11,774.059454
6.38,16,776.808847
4.4,21,781.351708
3.54,11,783.153707
3.79,11,784.950791
2.88,8,786.927477
4.14,14,788.834458
4.53,14,791.474814
5.02,16,794.162569
6.36,18,797.948239
4.56,14,800.589894
3.2,9,802.350528
2.6,10,804.151527
5.32,14,806.330022
3.2,9,808.094413
4.0,8,809.834394
3.96,10,811.575746
4.72,12,813.453774
4.16,14,816.339059
4.92,18,819.88841
5.65,13,821.766412
4.45,11,823.82208
5.0,10,825.601904
3.6,10,827.363914
4.17,11,829.937598
5.37,12,831.812941
2.4,8,833.787939
6.25,12,835.646304
4.0,14,838.309971
4.5,11,840.133993
7.75,12,842.257627
4.34,12,844.853014
7.65,15,847.519688
4.0,10,849.333667
4.5,8,850.349019
5.75,8,852.347046
5.0,11,854.150701
5.45,14,856.827379
3.12,12,858.648514
4.96,14,861.5112
3.76,11,863.312224
3.4,12,865.904511
4.36,11,867.715163
6.18,19,871.480165
5.08,15,874.106794
5.16,12,875.949419
5.2,13,878.844123
4.76,17,881.619775
3.96,11,883.464409
2.6,8,885.206587
5.3,12,887.102738
3.24,8,889.04938
3.78,11,890.860041
2.4,12,893.451719
5.82,15,896.137055
4.15,8,897.374051
2.84,12,899.969716
3.05,12,901.803397
5.1,17,904.538743
3.06,11,907.329417
3.0,12,909.171458
4.76,13,911.776768
5.5,17,914.485423
4.16,11,916.53422
5.8,20,920.119882
5.86,16,922.828525
2.76,10,924.915839
6.22,16,928.405178
4.3,10,930.193871
5.9,13,932.051589
5.12,10,934.11426
4.32,12,936.713532
4.26,18,939.489176
5.03,15,942.162175
5.7,16,945.09545
