# {"t_start": 1765801489.4291856, "env_id": "Bpp-v0"} 
r,l,t
2.6,8,1.427656
2.78,10,3.226628
3.0,4,4.09699
3.5,9,5.881008
3.0,13,7.787649
1.66,8,9.531938
2.12,12,11.608612
0.48,3,12.421293
2.56,8,13.405314
2.0,12,15.966656
1.65,4,16.824674
2.48,11,18.668327
3.25,6,19.844328
5.1,10,21.577976
3.55,6,22.483976
2.65,9,24.214395
1.6,10,26.062991
2.32,9,27.868567
3.7,8,29.111595
3.19,8,30.848865
2.12,5,31.759893
2.54,9,33.51454
0.94,6,34.453235
3.95,16,37.202892
3.35,8,39.175894
1.46,8,40.183582
2.36,8,41.89756
2.72,8,43.658221
2.3,11,45.514259
1.86,5,46.417284
3.84,11,48.493936
3.4,10,50.258571
4.28,13,52.851251
5.08,15,55.52459
3.13,8,56.752609
4.32,14,59.323228
5.0,13,61.890888
2.8,7,62.839886
4.0,8,64.55617
4.2,8,65.78319
2.46,8,67.48287
2.48,11,69.33285
2.7,7,70.268202
4.96,14,72.952857
3.18,12,75.810122
2.4,7,76.76313
1.88,9,78.51278
4.82,16,81.257757
4.08,11,83.060455
4.16,13,85.92644
6.4,13,87.820108
3.4,10,89.638103
5.6,17,93.368423
3.91,11,95.17296
4.38,12,96.983668
5.4,18,100.440301
2.24,8,102.412305
4.08,10,104.173668
3.87,11,105.956288
1.76,8,106.950291
2.2,8,108.627986
3.58,10,110.434653
7.65,13,113.237353
3.34,10,115.023638
4.2,7,115.979637
5.95,12,117.870267
4.0,12,120.78686
2.27,6,121.71789
3.65,12,123.580544
4.1,11,126.14424
1.28,7,127.12641
4.4,9,128.898412
3.0,14,131.84344
4.2,8,132.830131
3.56,9,134.566784
2.84,14,137.197447
5.5,13,139.329899
2.99,10,141.059899
1.92,7,142.736571
3.44,11,144.552467
2.48,8,146.257465
2.16,8,147.26549
2.68,9,149.262131
2.8,9,150.996446
3.52,13,152.897447
3.2,9,154.64876
5.7,15,157.607433
2.26,9,159.400433
2.52,10,161.194061
3.4,8,162.91769
4.15,8,163.914955
3.68,7,165.647337
5.0,10,167.629362
2.16,10,169.438952
3.95,9,170.452605
5.1,16,173.875923
2.12,9,174.88755
5.0,10,176.902571
3.0,8,178.695232
4.86,12,180.609623
1.84,10,182.361622
5.8,13,185.229007
3.16,9,186.950658
5.7,12,188.777656
3.6,10,190.578993
6.9,16,193.342649
3.24,8,195.315316
4.14,14,197.969926
5.6,13,199.837586
5.92,16,203.635245
3.72,9,204.661143
5.0,17,208.169815
5.32,14,210.825118
4.04,10,212.820126
2.72,10,214.581478
3.5,10,216.323465
4.08,11,218.154109
5.92,11,219.950747
1.3,9,221.989745
3.68,14,224.585108
2.51,8,225.560803
5.04,13,228.150824
4.2,8,229.129506
4.0,7,231.09411
2.34,7,232.051759
2.57,7,233.759762
1.84,8,234.750041
3.12,13,237.36534
4.62,11,239.197615
4.84,14,242.083321
4.0,9,243.848926
3.48,10,245.646578
1.92,10,247.482607
4.4,13,249.780249
0.6,4,250.806196
2.72,10,252.641944
3.68,9,254.363632
4.6,13,256.247326
1.4,5,257.124305
1.52,6,259.060713
1.51,6,259.990711
2.88,9,261.83437
6.1,11,263.640928
2.18,10,265.406262
4.0,13,267.300258
4.4,9,269.290954
3.04,10,271.22235
2.1,7,272.941797
3.64,10,274.755139
6.4,12,276.615661
2.92,6,277.794646
2.18,9,279.580345
4.72,12,281.433321
3.2,8,283.171982
2.4,9,284.961249
2.15,7,285.939953
5.2,16,288.903603
4.26,12,291.490907
4.1,14,294.120538
4.48,13,296.2852
4.24,11,298.094829
2.85,10,299.872823
3.87,9,301.637627
3.7,10,303.406629
4.0,12,306.254939
6.2,14,308.150629
2.32,9,309.930295
4.12,11,311.740984
2.4,7,313.473676
2.1,7,314.681319
4.36,13,317.283965
2.34,9,319.063327
3.5,11,320.899307
1.74,8,321.935995
4.6,13,324.818292
2.01,8,326.566313
3.04,9,327.604631
4.06,16,331.103608
2.16,6,332.030607
4.28,12,334.103295
4.55,9,335.828294
4.0,10,337.573977
4.2,7,338.535978
2.64,9,340.273669
2.77,11,342.335632
4.5,10,344.082971
3.18,8,345.794657
4.2,10,347.585701
3.55,6,348.506322
6.5,13,351.414986
4.57,13,353.290666
3.2,11,355.917005
3.75,8,356.906002
4.93,16,359.695675
4.0,9,361.693326
3.66,10,363.491017
2.24,7,365.181693
3.92,10,367.012341
3.6,15,370.013022
2.24,7,371.003666
3.1,9,372.77637
4.68,11,374.582002
2.68,11,376.401643
3.26,13,379.243318
3.22,13,381.123319
3.8,9,382.86099
3.88,13,385.487357
2.9,11,387.30836
2.4,8,389.264719
3.33,11,391.096039
5.0,13,392.975439
3.85,9,394.729735
3.9,8,396.468428
6.0,11,398.52743
3.2,10,400.301116
3.8,12,402.16409
3.48,10,403.963791
