# {"t_start": 1765801489.2741835, "env_id": "Bpp-v0"} 
r,l,t
1.98,8,1.582659
1.5,5,2.480626
1.78,10,4.282991
3.44,15,7.000679
3.08,8,8.72966
1.78,7,9.71794
4.58,18,13.434295
0.78,3,13.529323
4.8,11,15.318994
1.6,9,17.076666
1.75,8,18.822351
3.84,11,20.855345
3.35,10,22.608001
2.48,9,24.334383
4.8,14,27.051993
2.75,9,28.115613
2.1,8,30.113569
4.3,15,32.806866
1.12,6,33.728563
3.47,7,35.42621
3.04,11,37.287894
1.8,8,38.540895
4.75,6,40.217557
5.95,9,41.228583
5.86,14,43.911574
3.1,7,45.63528
2.52,9,46.67026
3.24,10,48.711964
3.68,11,51.240571
3.74,12,53.067272
3.36,9,54.814612
5.6,9,56.809594
2.98,15,59.41323
2.28,6,60.315229
3.3,9,62.044909
4.62,12,63.880171
4.5,9,65.873192
0.96,5,66.756858
0.96,7,67.702854
2.55,10,69.514872
3.25,6,70.423204
4.04,10,72.229202
3.46,10,74.050456
2.25,9,76.06115
3.0,11,77.872145
2.6,5,78.76476
3.76,14,81.442791
3.7,10,83.215457
5.0,13,86.081442
0.64,5,87.007421
3.36,11,88.831106
5.5,16,91.532414
3.8,14,94.452962
2.82,13,97.022668
4.3,11,98.82467
4.45,8,99.794304
4.2,8,101.494326
3.32,13,104.32867
6.0,12,106.150292
3.3,12,107.973311
2.8,6,109.616999
3.95,10,111.641327
4.76,12,113.457316
1.92,8,115.17864
3.83,9,116.201658
0.8,5,117.085665
5.44,11,119.759196
3.48,11,121.840888
1.44,6,122.774865
2.4,6,123.704575
5.6,12,126.298262
4.69,15,129.018438
1.28,7,130.262763
2.4,5,131.174462
3.5,11,132.984152
3.45,8,134.692784
0.8,5,135.588474
2.4,8,136.550478
1.74,6,138.220472
3.48,10,140.233899
3.57,11,142.010599
3.71,11,143.827464
5.6,16,146.509468
2.92,8,148.495133
4.32,12,150.322775
1.96,9,152.094448
2.3,9,153.856092
3.7,12,155.684761
1.88,7,157.671446
4.08,12,159.555435
3.7,12,161.406063
3.0,6,163.072692
4.75,10,164.902929
2.58,7,165.861336
4.2,9,167.817335
3.0,12,169.685955
3.4,14,172.312309
2.35,7,173.271286
4.88,15,176.160571
1.96,7,177.852253
3.9,8,178.926224
3.7,10,180.764625
4.76,11,183.288646
2.9,16,186.227006
4.45,9,187.952659
1.68,8,188.932658
4.6,10,190.733016
4.68,13,193.402653
3.0,9,195.407288
2.02,7,196.355928
4.46,12,198.216947
4.6,11,200.763588
2.84,11,202.67826
3.44,10,204.716173
4.16,11,206.568213
3.0,9,208.323836
2.4,9,210.102817
4.7,10,211.863138
1.85,5,212.975128
2.32,7,213.912818
5.32,22,217.491135
3.0,12,220.069757
1.44,4,220.95177
2.64,7,222.176773
1.5,6,223.079406
3.01,8,224.768105
4.62,22,228.369816
3.0,11,230.204138
3.2,14,233.118789
2.18,9,234.874044
2.58,8,236.614483
1.85,8,237.582626
4.48,10,239.383636
6.05,16,242.33132
2.12,7,244.032597
4.7,9,245.80158
3.75,12,247.71064
6.0,9,249.870278
5.75,12,251.949197
3.05,14,254.551616
3.48,10,256.345324
7.8,16,259.310746
3.29,12,261.988393
3.64,14,263.889951
3.0,9,265.63529
1.8,7,267.325284
4.96,15,270.35566
3.56,10,272.190805
4.56,12,274.069159
5.68,19,277.894629
2.0,11,279.735347
4.0,10,281.527323
3.4,13,284.176251
4.7,11,286.032936
1.32,5,287.177955
4.86,16,289.902649
3.0,10,291.675908
3.48,12,293.509928
3.7,18,297.295176
3.38,12,299.140849
4.62,13,301.764652
5.25,9,303.501657
2.08,6,304.432959
3.38,17,307.423671
2.08,9,309.178657
4.3,9,310.934994
4.9,13,313.598655
4.8,14,315.75699
7.15,14,318.388974
5.24,17,321.964016
3.18,10,324.010997
4.38,15,326.721315
4.38,15,329.436294
5.0,10,331.25861
4.4,17,334.223295
1.44,8,335.921296
5.6,12,337.728005
2.4,7,338.69
1.9,5,339.565103
2.63,7,341.265651
2.8,11,343.295338
4.32,12,345.115993
4.76,12,347.706685
4.28,12,349.567318
3.2,11,351.658687
5.14,17,355.185036
4.0,11,357.027003
3.9,10,358.851675
4.28,13,361.757327
2.34,10,363.554358
2.96,11,365.369719
2.42,6,366.305719
4.85,11,368.161342
4.48,11,370.300652
2.16,8,372.075672
8.1,14,374.704992
3.3,10,376.493679
3.3,11,378.282647
1.86,6,379.456319
4.32,13,382.079993
4.2,9,383.825991
2.4,7,384.784385
0.77,4,385.642359
3.11,10,387.430397
4.0,12,389.513708
1.44,6,390.43937
5.5,12,393.034422
6.5,12,394.884737
1.48,6,395.816755
3.62,13,398.682432
5.06,12,400.514091
2.6,8,402.248092
3.74,12,404.118793
3.84,13,407.012915
1.4,9,408.798543
6.3,11,410.631275
3.96,13,413.300958
3.55,9,414.320611
5.0,12,417.167251
2.59,9,418.910943
3.98,12,420.757604
4.3,13,423.373618
3.2,9,424.413288
1.24,10,426.437287
4.2,9,428.156948
3.9,13,430.788306
4.4,12,432.645978
3.45,10,434.737675
3.52,9,436.487332
2.56,7,437.441326
5.0,11,440.000971
4.2,15,442.761651
3.5,10,444.770977
3.28,15,447.492986
1.48,7,448.452353
5.64,16,451.19466
2.62,10,453.249659
4.28,15,455.945024
2.86,11,457.779669
4.9,8,459.47467
4.49,16,462.531367
3.48,13,465.203693
4.9,9,466.968333
4.32,14,468.867042
3.52,9,470.669714
2.0,8,472.653368
3.9,13,474.586696
3.3,13,477.234672
4.52,13,479.985343
2.96,9,481.270015
3.28,13,483.957193
5.55,9,485.699828
3.08,9,487.457492
2.0,9,488.492514
5.0,11,491.410816
3.69,11,493.230484
3.5,6,494.145498
3.12,12,496.005816
4.74,18,499.771488
3.95,9,501.489463
3.01,9,503.271145
6.1,19,506.081491
3.0,11,508.906252
3.89,16,511.600488
3.52,7,512.560489
5.04,17,516.069865
4.12,13,518.206549
3.32,8,519.943235
4.6,14,522.629877
4.25,10,524.455492
3.0,11,526.333136
4.34,9,528.39046
4.18,12,530.240777
6.45,13,532.885431
4.15,8,533.856432
4.67,12,536.712292
5.58,14,538.610957
3.4,10,540.399932
4.55,11,542.90565
4.74,16,545.889007
4.58,12,547.72064
2.58,8,549.435617
1.02,4,550.298935
4.58,11,552.108945
5.4,11,553.964618
3.33,12,556.108984
4.79,13,558.745641
4.45,13,561.385641
5.3,10,563.199252
4.74,12,565.377626
5.75,11,567.219633
4.12,11,569.059957
3.4,9,570.811332
4.56,20,574.701633
4.06,15,577.35528
3.0,10,579.149286
3.48,14,581.831913
4.54,12,583.931585
5.7,9,585.679911
3.2,15,588.332914
4.25,10,590.115598
3.65,10,592.178948
4.66,10,593.983926
2.46,10,595.799246
4.32,12,598.457912
2.3,10,600.303912
2.6,7,601.518618
2.93,10,603.327506
4.52,14,606.012867
5.32,14,608.699509
5.24,15,611.723762
6.33,15,614.372125
3.16,8,615.357126
3.36,12,617.948777
3.6,13,620.098475
5.36,21,623.716196
2.58,10,625.475517
2.54,11,628.074817
4.02,11,630.136839
4.58,12,631.972136
3.48,17,635.510464
3.97,14,637.419144
5.88,16,641.122741
1.1,7,642.094746
6.0,12,644.00243
3.6,15,646.687632
5.5,14,649.601295
4.74,14,652.277644
1.5,6,653.181644
4.22,14,655.863308
3.96,12,657.946309
4.8,13,660.556058
3.76,11,662.356743
