# {"t_start": 1765801489.4751847, "env_id": "Bpp-v0"} 
r,l,t
1.3,6,1.313662
4.0,12,3.180629
3.7,11,5.014991
5.54,10,6.836689
2.02,7,8.528659
2.4,9,9.583941
3.3,8,11.528615
2.16,7,12.462299
2.8,6,14.115973
2.76,15,16.778675
1.7,4,16.907675
4.0,5,17.803675
3.28,10,19.85533
3.95,8,21.531977
1.31,6,22.437977
1.5,5,23.319
3.23,11,25.15099
2.1,9,26.936014
4.0,9,29.00257
1.71,9,30.771866
3.2,10,32.573868
2.14,11,34.407236
2.06,9,36.172236
4.64,16,39.165894
1.24,6,40.109556
4.25,9,41.851561
2.3,5,42.764222
3.32,9,44.561574
4.4,9,46.335257
0.64,5,47.467283
3.15,10,49.280937
1.84,6,50.181573
2.6,4,51.03957
1.44,6,51.943273
4.55,9,53.700928
3.48,11,55.511592
3.65,10,57.50923
2.52,12,59.30625
2.84,11,61.088889
2.98,9,62.825912
2.0,5,63.708171
1.28,8,65.673174
5.24,13,67.534851
0.96,3,68.363853
2.68,10,70.153166
4.25,13,72.79686
1.04,6,73.758483
4.54,14,76.654125
4.82,11,78.466781
4.0,6,79.389759
2.88,8,81.146758
3.96,11,82.95244
2.48,10,84.983421
3.0,8,85.98246
5.72,17,89.497109
2.78,13,91.364402
1.72,7,93.322424
4.2,12,95.155961
2.8,8,96.854642
2.27,11,98.656642
4.16,14,101.259337
5.0,10,103.280995
1.74,7,104.204645
3.3,9,105.949291
3.5,8,107.653312
2.65,6,108.551977
4.0,9,110.317653
1.7,7,111.503318
4.52,16,114.150952
2.56,10,115.966638
2.8,10,117.793267
2.88,10,119.667223
1.72,7,121.601867
4.28,16,124.341241
3.48,13,126.230241
5.9,15,128.952408
2.32,9,131.007441
3.75,9,132.753157
3.4,9,134.491783
3.55,10,136.261446
3.4,7,137.209446
3.25,8,139.1929
1.54,8,140.151899
4.1,10,141.897592
1.96,10,143.690465
5.16,14,146.308467
2.15,9,148.326132
2.56,9,150.057773
4.63,11,151.893447
1.78,7,152.851448
1.26,6,154.513741
3.32,13,156.408414
4.02,13,159.317411
1.94,9,161.088084
3.3,9,162.114063
3.34,10,163.897926
3.6,13,166.784336
4.76,11,168.576952
1.97,8,170.312605
3.6,12,172.147312
3.05,8,173.864926
2.92,9,175.837552
4.36,9,176.856572
4.15,12,179.563227
5.5,13,181.434642
3.12,10,183.205624
3.0,9,185.213006
1.44,8,186.904659
3.8,10,188.661657
4.2,14,191.323988
2.42,9,192.34601
2.16,8,194.387308
2.95,6,195.302286
5.76,15,197.983948
3.6,8,199.690586
4.3,10,201.512221
2.92,14,204.479144
2.62,12,206.367211
3.6,11,208.183816
2.07,9,209.96145
5.6,11,211.747119
4.0,10,213.743819
3.05,7,215.397458
4.72,15,218.076112
5.55,12,219.904748
5.0,11,222.006745
2.96,9,223.714425
3.0,12,225.544836
5.0,7,227.22881
4.0,16,229.936507
3.52,15,232.886764
5.4,11,234.704042
4.0,13,237.319341
2.23,5,238.193614
4.48,13,240.338615
2.7,6,241.999295
2.14,7,242.964273
3.74,10,244.771577
4.75,10,246.583626
3.24,13,249.631281
3.12,17,252.595945
1.98,6,253.499925
3.61,10,255.277636
3.52,18,259.049713
3.6,10,260.904713
3.4,10,262.706409
2.66,7,263.658929
2.76,9,265.394255
5.0,19,269.179972
5.62,17,272.099835
8.0,14,274.770149
5.14,16,277.748647
2.14,8,279.50332
4.72,14,282.167326
3.8,11,284.009223
4.82,15,286.977936
1.44,7,287.927934
4.25,9,289.701648
2.3,7,290.647276
1.73,7,292.328907
3.09,13,294.198568
1.4,12,297.063175
3.36,12,298.907826
6.05,13,301.534633
3.5,8,302.509667
3.72,12,305.36094
3.6,10,307.131649
4.8,10,308.915654
5.1,17,311.664003
3.62,8,313.427677
3.48,9,315.428964
3.06,9,316.435964
5.15,7,318.128994
5.0,6,319.083309
5.55,10,320.883306
2.3,8,322.676994
5.0,9,323.926699
3.44,11,326.520314
4.72,8,327.528623
3.16,8,329.272324
3.4,11,331.119607
2.84,7,332.078607
3.16,14,334.931294
2.4,9,336.652979
3.99,18,340.131628
2.44,10,342.175628
3.6,13,344.005968
1.56,7,345.676662
2.21,8,346.681659
3.5,12,349.264335
0.36,3,349.366317
2.59,8,351.368987
3.91,10,353.15064
3.4,8,354.174369
2.76,11,356.768003
3.93,13,358.681675
4.0,10,360.751326
1.96,8,362.495327
3.72,13,364.369717
4.64,17,367.889379
2.5,10,369.999676
5.7,12,371.906717
3.6,8,373.61737
4.35,11,375.430645
5.22,17,378.141646
5.4,13,381.016321
3.44,7,381.967991
5.0,11,384.519359
1.92,8,385.502357
5.28,14,388.397712
5.7,14,391.05004
5.2,17,393.786092
5.4,17,397.533423
4.94,14,399.437091
3.58,12,402.013091
1.12,7,402.973792
4.25,14,405.662889
4.43,18,409.46854
5.08,12,411.337244
4.4,14,414.018601
1.84,11,416.112253
4.56,12,417.943947
5.35,10,419.711921
5.0,17,423.205606
3.52,9,425.229288
3.9,12,427.052947
3.4,14,429.692662
3.62,11,431.501326
2.0,9,433.310009
5.0,9,435.321658
4.0,11,437.150353
2.12,9,438.910996
4.8,9,439.934972
2.94,8,441.691664
5.18,12,443.812653
5.9,13,446.462
2.64,11,448.285342
4.44,15,450.993659
5.48,18,454.783004
3.6,11,456.60267
5.5,10,458.400668
4.9,9,460.13133
6.12,16,463.203043
7.25,15,465.94033
4.5,8,467.660356
3.38,11,469.467024
6.2,11,471.579361
3.93,11,473.424392
5.47,13,476.096672
2.53,10,477.942344
3.5,15,480.976036
5.28,14,483.694185
3.0,7,484.646848
3.14,10,486.428494
3.96,19,490.34482
3.16,14,492.997477
4.12,11,494.819116
1.62,6,495.736819
3.88,22,499.629484
4.0,12,502.193144
3.36,10,503.997172
1.12,7,504.96347
3.9,12,507.576632
4.28,12,509.647211
4.32,11,511.465513
2.53,9,513.223508
1.2,7,514.190864
2.88,12,516.800567
4.86,15,519.742234
4.6,12,521.606253
3.12,11,523.481243
2.56,10,525.295491
3.11,10,527.399136
2.32,9,529.160127
3.72,16,531.927435
5.92,12,534.482831
5.04,19,538.29093
4.6,10,540.07195
3.0,9,541.077671
4.18,11,543.606319
3.44,12,545.720981
3.68,10,547.488618
3.74,10,549.26362
5.0,14,551.907944
5.0,8,552.890632
4.82,11,555.774982
5.54,11,557.622983
3.88,11,559.441657
4.02,13,562.088253
5.28,16,565.145629
4.16,11,566.986608
4.42,17,569.754983
5.84,21,574.406612
4.85,16,577.090281
8.0,11,578.918284
3.35,9,580.674938
3.66,12,582.805588
4.4,9,584.556278
2.8,7,585.511937
4.92,22,589.851613
5.5,16,592.834933
2.6,11,594.699245
4.9,10,596.516263
6.2,17,600.102911
6.2,21,603.992202
4.81,13,605.898841
5.04,13,608.567519
5.42,14,611.559757
4.64,16,614.230144
6.75,9,615.980797
4.4,15,618.697474
3.8,14,621.580178
4.64,11,623.424171
5.25,9,625.154496
5.36,11,626.980496
5.3,13,629.134838
4.76,11,631.683102
3.4,10,633.453783
3.54,10,635.309463
5.06,18,638.305138
4.8,10,640.121763
3.75,8,641.86074
5.9,18,644.682593
4.44,17,648.453294
3.48,9,650.20895
3.4,9,651.21295
2.27,7,652.915644
5.6,20,656.776336
3.96,11,658.565309
3.04,10,660.355057
5.0,9,662.091718
3.84,12,663.917377
3.92,10,665.96007
2.76,8,667.705757
6.32,21,671.313071
2.16,12,673.173771
4.7,11,676.041079
4.52,22,679.727735
4.2,16,682.412388
5.9,10,684.461658
2.8,9,686.248657
2.0,10,688.048004
1.8,8,689.810995
5.85,9,690.836353
4.9,17,694.648123
6.16,16,697.377811
4.0,10,699.157811
5.8,20,702.993593
4.28,14,705.674937
4.44,12,707.499936
3.84,14,710.150236
3.64,10,712.18895
4.16,11,714.030952
4.04,12,716.669258
5.12,15,719.554952
5.16,13,721.850587
5.8,10,723.784928
5.52,14,726.60127
6.2,10,728.474228
5.4,8,730.275578
3.4,13,732.68523
3.61,11,734.577178
2.56,13,737.174786
6.7,13,739.778003
2.54,12,741.861662
3.28,9,743.620812
4.52,12,745.449154
5.26,17,748.89546
5.29,19,751.933764
3.94,12,754.457049
4.3,11,756.296049
5.36,17,759.341725
1.74,6,761.015845
5.4,12,762.880546
5.28,13,765.503456
5.2,8,766.486475
3.45,11,768.588112
3.3,10,770.388778
5.74,16,773.851441
5.74,21,777.729547
3.8,15,780.380718
3.6,11,782.18872
3.9,13,784.775802
3.0,11,786.840469
5.36,15,789.520178
5.25,11,791.32283
4.16,11,793.132579
4.27,11,794.945235
3.2,6,796.859233
2.05,6,797.797215
5.5,19,801.324883
3.4,12,803.193574
2.48,12,805.31003
3.04,12,807.917406
4.58,20,811.457757
5.1,12,813.335785
4.78,13,816.187059
3.96,13,818.099689
6.54,19,821.649407
4.66,19,825.420916
4.56,15,828.069914
5.3,11,829.909616
2.32,11,831.757951
5.08,12,834.598344
5.76,17,837.355312
5.12,13,839.985983
2.71,9,842.016639
4.04,13,843.8823
3.28,11,845.714008
1.35,4,846.572701
5.76,18,850.133053
3.62,14,853.050707
3.6,11,854.881678
4.76,9,856.649373
3.9,13,858.494525
4.88,12,861.308527
5.75,9,862.294252
5.0,10,864.089234
4.44,14,866.749527
5.48,15,869.651818
5.46,15,872.297145
4.25,9,874.018793
5.24,15,876.688114
1.72,7,877.675111
5.1,14,880.615803
6.7,12,883.22442
2.81,12,885.088598
