# {"t_start": 1765801487.7960448, "env_id": "Bpp-v0"} 
r,l,t
3.53,11,3.888765
4.64,15,6.59113
2.72,7,7.580149
1.81,8,9.324794
3.41,9,10.334809
2.52,12,13.176753
1.3,5,14.054434
3.13,7,15.007462
3.16,11,16.797133
6.0,13,19.419795
1.7,9,21.445465
3.41,11,23.21014
2.75,5,24.08614
3.5,7,25.030139
4.5,14,27.730156
4.18,12,30.612749
2.0,5,31.529729
3.7,10,33.327027
1.26,5,34.221031
5.3,12,36.086376
1.16,6,36.995368
3.04,10,38.836032
2.8,8,40.808065
2.4,11,42.639694
1.68,5,43.529717
2.3,12,45.421712
1.26,6,47.113419
2.74,9,48.148399
3.27,10,50.190103
1.0,6,51.831712
3.35,8,52.813733
2.1,10,54.579423
4.11,12,57.15773
4.24,11,59.187395
5.08,16,61.825369
3.5,9,63.556052
2.12,8,64.536034
3.9,9,66.28831
2.56,7,68.20299
2.4,9,69.213991
2.8,9,70.993011
2.08,7,72.66935
2.7,7,73.642339
3.36,9,75.437623
2.8,8,76.677601
2.3,12,79.262296
1.96,12,81.104898
4.73,13,83.736568
4.85,13,85.861919
0.8,5,86.759598
3.76,12,89.362265
2.06,9,91.139269
3.52,10,92.921553
5.0,10,94.968561
4.43,9,95.994099
2.45,11,98.500807
5.0,11,100.302809
1.86,8,101.272443
4.02,17,104.959156
4.12,13,106.785823
1.95,9,108.54845
3.26,16,111.217146
3.4,7,113.151479
2.95,7,114.086481
3.62,19,117.612778
2.15,6,118.532779
3.04,8,120.33436
4.0,9,122.389021
4.2,9,123.41003
3.78,12,126.019404
2.96,11,127.839379
3.2,10,129.655571
3.88,10,131.740901
3.64,11,133.569601
4.0,9,135.325292
3.55,7,136.260934
4.2,8,137.969593
3.52,10,139.763584
4.9,9,141.742039
3.75,6,142.634038
3.2,11,144.435711
2.56,10,146.215606
3.0,11,148.019602
5.02,12,150.862293
3.12,11,152.659592
4.8,10,154.470606
2.56,8,156.192881
3.48,16,159.180551
3.65,8,160.188577
4.4,8,161.944223
4.04,10,163.732229
3.87,9,165.488093
2.8,6,166.445065
4.34,12,168.5205
3.96,12,171.102113
3.04,8,172.084767
4.76,16,175.509064
3.36,11,177.548696
3.8,11,179.362393
3.84,12,181.331387
3.91,12,183.902787
4.0,9,185.663146
3.0,10,187.674166
2.14,9,188.671796
4.68,16,192.122154
4.48,11,193.935155
4.8,9,196.005427
4.5,6,196.916445
2.25,5,197.798115
4.8,13,199.695086
4.08,17,203.191361
5.4,12,205.361361
4.52,18,208.908354
2.0,9,210.657975
4.25,8,211.670636
3.62,11,213.455257
3.76,13,216.270619
3.26,11,218.061248
2.64,9,219.816275
6.4,11,221.613893
4.2,9,223.654912
3.7,8,225.330556
2.1,6,226.246243
4.4,9,227.994968
2.43,6,228.906969
3.16,11,230.703665
2.39,8,232.693252
4.4,14,234.629902
3.8,11,237.198183
3.8,8,238.185622
3.75,10,239.93578
4.01,11,242.016779
5.28,12,244.611433
4.75,9,246.388717
5.16,15,249.114746
3.24,8,250.195746
3.4,7,252.351037
2.64,8,253.427336
2.71,5,254.304065
4.2,9,256.02878
1.76,10,257.823463
4.28,12,259.664442
3.6,12,262.583853
3.7,9,264.353534
7.12,17,267.073395
4.56,15,270.003107
5.34,17,272.887511
4.63,12,275.516303
1.77,7,276.47731
1.58,6,277.396143
3.0,11,280.234768
3.4,9,281.270463
2.16,7,282.974462
3.0,9,284.74112
2.42,5,285.654389
4.4,10,287.477104
1.5,8,288.721078
4.08,14,291.380788
4.48,10,293.154047
3.4,9,294.898074
4.3,11,296.731315
3.36,9,298.742315
5.2,16,301.445984
6.24,17,304.188807
4.2,13,307.071077
1.68,7,308.0141
4.27,17,311.499455
3.8,9,313.24714
1.42,7,314.201793
3.68,12,316.345464
2.4,5,317.235129
2.0,10,319.009104
3.93,13,321.660468
3.92,11,323.538157
6.0,10,325.575805
2.08,8,327.329458
2.82,8,328.32346
4.06,12,330.951464
3.94,10,332.767768
3.17,8,333.757747
