# {"t_start": 1765801489.2751834, "env_id": "Bpp-v0"} 
r,l,t
3.12,13,2.479626
2.1,7,3.443638
2.0,11,6.03501
3.16,9,7.071656
3.6,10,8.855671
3.5,10,10.891625
5.0,9,12.634334
6.4,11,14.434994
2.31,8,16.151654
2.56,8,17.871679
4.8,12,19.998331
2.4,11,21.762001
2.32,9,23.489977
2.64,13,26.146011
5.0,10,27.98757
5.16,13,30.145571
1.8,6,31.068878
5.6,12,33.668542
3.14,9,35.42521
3.78,13,37.356894
4.08,14,40.277578
5.2,10,42.050579
1.8,8,43.811252
2.94,8,44.827572
4.2,10,46.636259
4.9,15,49.572938
2.3,7,51.239571
2.6,9,52.235253
4.1,12,54.813612
3.6,10,56.843617
2.44,8,57.806251
4.0,14,60.379254
4.24,12,62.928931
1.5,8,63.908173
3.24,10,65.937192
2.1,8,67.636872
1.12,8,68.632878
1.92,8,70.353167
2.8,7,71.309167
6.0,13,73.990454
3.55,7,75.198463
5.0,8,76.916145
1.97,9,78.666782
4.5,12,80.535779
3.98,9,82.28843
2.18,9,84.295805
2.24,12,86.148421
3.4,16,88.888144
1.5,4,89.760134
1.2,6,90.678446
2.6,8,92.423401
4.0,8,94.391982
4.7,9,95.387985
3.44,7,97.054643
4.36,14,99.673306
1.8,8,100.628335
2.1,8,102.601994
2.0,9,104.32767
4.7,12,106.149292
3.28,9,107.88429
4.4,8,108.841004
2.04,6,110.517654
2.13,8,111.733336
3.5,9,113.456316
7.0,13,116.062639
2.5,7,117.022668
2.9,13,119.758196
3.77,10,121.800862
0.72,6,122.740864
5.6,11,124.57526
3.72,14,127.250433
4.0,10,129.052414
4.16,16,132.062466
2.3,8,133.779166
4.5,8,134.751784
3.3,7,136.432479
4.28,11,138.251449
5.0,9,140.232899
3.65,6,141.123919
2.21,7,142.0686
3.25,8,143.790472
5.16,18,146.540463
4.88,10,148.59313
3.84,10,150.357775
4.95,10,152.153449
3.05,9,153.915087
3.35,9,155.652741
6.0,13,158.583415
2.88,12,160.465084
2.86,11,162.282086
5.17,14,164.965926
2.72,10,166.984337
3.12,10,168.744976
3.62,12,170.605628
3.2,7,172.281326
2.09,8,173.270286
3.32,12,176.069557
3.62,13,177.949228
1.9,9,179.822226
5.04,13,182.424626
2.0,9,184.184007
3.76,10,186.195028
5.3,13,188.035683
1.83,6,188.962656
1.2,7,190.67301
1.85,4,191.523989
2.8,8,192.512992
4.64,18,196.318976
3.21,9,198.091934
3.04,13,199.954613
5.48,12,202.646224
2.32,12,204.748145
4.03,12,206.629209
4.6,12,209.209855
3.16,10,211.00912
3.78,13,213.090119
4.08,12,215.63046
2.5,9,217.366128
2.49,8,218.367121
3.6,12,220.95077
1.1,8,222.206746
4.24,11,223.976406
2.24,11,226.515829
1.33,5,227.395807
2.12,10,229.166512
2.3,5,230.064527
3.74,10,232.110767
3.52,10,233.913764
2.94,8,234.904044
2.28,6,235.84007
3.2,9,237.581626
2.62,5,238.456642
2.3,10,240.505641
2.13,8,242.237324
0.84,4,243.101293
1.62,6,244.031597
4.08,13,245.93158
4.24,12,248.642633
5.18,15,251.881203
3.88,13,253.72893
5.42,14,256.374329
5.6,19,260.176733
1.1,6,261.166713
5.6,8,262.90641
1.7,8,263.888951
2.0,7,265.559279
2.0,4,266.42726
5.4,13,268.553985
3.0,10,270.466663
5.76,13,273.130841
1.68,9,274.90816
5.08,14,276.830648
2.95,6,278.755629
3.1,13,280.661345
2.72,10,282.464323
4.75,8,284.209224
4.18,9,285.997966
3.72,10,288.030934
5.5,12,289.901649
5.0,10,291.674908
4.0,10,293.449929
5.25,11,295.283211
2.98,10,297.326175
4.18,11,299.139849
3.87,10,300.92963
2.9,8,302.653631
2.65,5,303.530652
5.1,8,305.529946
1.44,6,306.43996
3.75,8,307.422671
6.0,13,310.052297
4.36,13,312.664675
5.45,11,314.772326
2.44,12,316.601966
3.07,12,319.217329
2.92,9,320.249312
2.64,8,322.026036
1.96,11,324.096667
4.84,13,326.751328
4.36,14,329.435294
3.27,12,331.319609
3.21,9,333.304608
2.95,11,335.099324
5.22,17,337.800979
4.11,13,340.397634
1.66,7,341.357633
3.85,9,343.326297
4.12,11,345.114993
3.6,14,347.77066
5.0,14,350.450008
5.36,15,353.381669
3.41,9,355.184036
2.6,8,356.188023
3.75,9,357.963695
3.96,10,359.813702
5.0,13,362.695328
2.72,13,364.569718
4.94,15,367.293362
5.0,8,369.050342
1.9,5,370.233652
2.24,10,372.074672
1.8,7,373.019363
1.72,7,374.703992
2.62,7,375.663647
1.48,7,377.338675
4.23,13,379.455319
4.0,13,382.078017
2.18,8,383.046992
4.76,12,385.641359
3.21,13,387.523379
4.1,13,390.379344
3.72,9,392.149469
3.8,13,394.016088
5.93,15,396.716449
6.05,13,399.568429
2.98,15,402.247092
3.7,10,404.055793
1.9,9,405.826892
3.0,9,407.855893
4.6,12,409.737566
4.82,11,411.569268
4.72,12,414.186589
4.0,11,416.282271
3.56,13,418.143949
3.1,9,419.883942
1.9,5,420.790628
